Row,Date,Year,Month,YearMonth,Day,Week Index,Day Index,is_weekend,is_market_holiday,is_eq_weekly_exp,eq_weekly_exp_cumulative,is_eq_monthly_exp,is_eq_quarterly_exp,is_vix_weekly_exp,vix_weekly_exp_cumulative,is_vix_monthly_exp,is_vix_quarterly_exp
75,3/15/2016,2016,3,2016-3,15,12,3,0,0,0,2,0,0,1,3,1,1
76,3/16/2016,2016,3,2016-3,16,12,4,0,0,0,2,0,0,0,3,0,0
77,3/17/2016,2016,3,2016-3,17,12,5,0,0,0,2,0,0,0,3,0,0
78,3/18/2016,2016,3,2016-3,18,12,6,0,0,1,3,1,1,0,3,0,0
79,3/19/2016,2016,3,2016-3,19,12,7,1,0,0,3,0,0,0,3,0,0
80,3/20/2016,2016,3,2016-3,20,13,1,1,0,0,3,0,0,0,3,0,0
81,3/21/2016,2016,3,2016-3,21,13,2,0,0,0,3,0,0,0,3,0,0
82,3/22/2016,2016,3,2016-3,22,13,3,0,0,0,3,0,0,1,4,0,0
83,3/23/2016,2016,3,2016-3,23,13,4,0,0,0,3,0,0,0,4,0,0
84,3/24/2016,2016,3,2016-3,24,13,5,0,0,0,3,0,0,0,4,0,0
85,3/25/2016,2016,3,2016-3,25,13,6,0,0,1,4,0,0,0,4,0,0
86,3/26/2016,2016,3,2016-3,26,13,7,1,0,0,4,0,0,0,4,0,0
87,3/27/2016,2016,3,2016-3,27,14,1,1,0,0,4,0,0,0,4,0,0
88,3/28/2016,2016,3,2016-3,28,14,2,0,0,0,4,0,0,0,4,0,0
89,3/29/2016,2016,3,2016-3,29,14,3,0,0,0,4,0,0,1,5,0,0
90,3/30/2016,2016,3,2016-3,30,14,4,0,0,0,4,0,0,0,5,0,0
91,3/31/2016,2016,3,2016-3,31,14,5,0,0,0,4,0,0,0,5,0,0
92,4/1/2016,2016,4,2016-4,1,14,6,0,0,1,1,0,0,0,0,0,0
93,4/2/2016,2016,4,2016-4,2,14,7,1,0,0,1,0,0,0,0,0,0
94,4/3/2016,2016,4,2016-4,3,15,1,1,0,0,1,0,0,0,0,0,0
95,4/4/2016,2016,4,2016-4,4,15,2,0,0,0,1,0,0,0,0,0,0
96,4/5/2016,2016,4,2016-4,5,15,3,0,0,0,1,0,0,1,1,0,0
97,4/6/2016,2016,4,2016-4,6,15,4,0,0,0,1,0,0,0,1,0,0
98,4/7/2016,2016,4,2016-4,7,15,5,0,0,0,1,0,0,0,1,0,0
99,4/8/2016,2016,4,2016-4,8,15,6,0,0,1,2,0,0,0,1,0,0
100,4/9/2016,2016,4,2016-4,9,15,7,1,0,0,2,0,0,0,1,0,0
101,4/10/2016,2016,4,2016-4,10,16,1,1,0,0,2,0,0,0,1,0,0
102,4/11/2016,2016,4,2016-4,11,16,2,0,0,0,2,0,0,0,1,0,0
103,4/12/2016,2016,4,2016-4,12,16,3,0,0,0,2,0,0,1,2,0,0
104,4/13/2016,2016,4,2016-4,13,16,4,0,0,0,2,0,0,0,2,0,0
105,4/14/2016,2016,4,2016-4,14,16,5,0,0,0,2,0,0,0,2,0,0
106,4/15/2016,2016,4,2016-4,15,16,6,0,0,1,3,1,0,0,2,0,0
107,4/16/2016,2016,4,2016-4,16,16,7,1,0,0,3,0,0,0,2,0,0
108,4/17/2016,2016,4,2016-4,17,17,1,1,0,0,3,0,0,0,2,0,0
109,4/18/2016,2016,4,2016-4,18,17,2,0,0,0,3,0,0,0,2,0,0
110,4/19/2016,2016,4,2016-4,19,17,3,0,0,0,3,0,0,1,3,1,0
111,4/20/2016,2016,4,2016-4,20,17,4,0,0,0,3,0,0,0,3,0,0
112,4/21/2016,2016,4,2016-4,21,17,5,0,0,0,3,0,0,0,3,0,0
113,4/22/2016,2016,4,2016-4,22,17,6,0,0,1,4,0,0,0,3,0,0
114,4/23/2016,2016,4,2016-4,23,17,7,1,0,0,4,0,0,0,3,0,0
115,4/24/2016,2016,4,2016-4,24,18,1,1,0,0,4,0,0,0,3,0,0
116,4/25/2016,2016,4,2016-4,25,18,2,0,0,0,4,0,0,0,3,0,0
117,4/26/2016,2016,4,2016-4,26,18,3,0,0,0,4,0,0,1,4,0,0
118,4/27/2016,2016,4,2016-4,27,18,4,0,0,0,4,0,0,0,4,0,0
119,4/28/2016,2016,4,2016-4,28,18,5,0,0,0,4,0,0,0,4,0,0
120,4/29/2016,2016,4,2016-4,29,18,6,0,0,1,5,0,0,0,4,0,0
121,4/30/2016,2016,4,2016-4,30,18,7,1,0,0,5,0,0,0,4,0,0
122,5/1/2016,2016,5,2016-5,1,19,1,1,0,0,0,0,0,0,0,0,0
123,5/2/2016,2016,5,2016-5,2,19,2,0,0,0,0,0,0,0,0,0,0
124,5/3/2016,2016,5,2016-5,3,19,3,0,0,0,0,0,0,1,1,0,0
125,5/4/2016,2016,5,2016-5,4,19,4,0,0,0,0,0,0,0,1,0,0
126,5/5/2016,2016,5,2016-5,5,19,5,0,0,0,0,0,0,0,1,0,0
127,5/6/2016,2016,5,2016-5,6,19,6,0,0,1,1,0,0,0,1,0,0
128,5/7/2016,2016,5,2016-5,7,19,7,1,0,0,1,0,0,0,1,0,0
129,5/8/2016,2016,5,2016-5,8,20,1,1,0,0,1,0,0,0,1,0,0
130,5/9/2016,2016,5,2016-5,9,20,2,0,0,0,1,0,0,0,1,0,0
131,5/10/2016,2016,5,2016-5,10,20,3,0,0,0,1,0,0,1,2,0,0
132,5/11/2016,2016,5,2016-5,11,20,4,0,0,0,1,0,0,0,2,0,0
133,5/12/2016,2016,5,2016-5,12,20,5,0,0,0,1,0,0,0,2,0,0
134,5/13/2016,2016,5,2016-5,13,20,6,0,0,1,2,0,0,0,2,0,0
135,5/14/2016,2016,5,2016-5,14,20,7,1,0,0,2,0,0,0,2,0,0
136,5/15/2016,2016,5,2016-5,15,21,1,1,0,0,2,0,0,0,2,0,0
137,5/16/2016,2016,5,2016-5,16,21,2,0,0,0,2,0,0,0,2,0,0
138,5/17/2016,2016,5,2016-5,17,21,3,0,0,0,2,0,0,1,3,1,0
139,5/18/2016,2016,5,2016-5,18,21,4,0,0,0,2,0,0,0,3,0,0
140,5/19/2016,2016,5,2016-5,19,21,5,0,0,0,2,0,0,0,3,0,0
141,5/20/2016,2016,5,2016-5,20,21,6,0,0,1,3,1,0,0,3,0,0
142,5/21/2016,2016,5,2016-5,21,21,7,1,0,0,3,0,0,0,3,0,0
143,5/22/2016,2016,5,2016-5,22,22,1,1,0,0,3,0,0,0,3,0,0
144,5/23/2016,2016,5,2016-5,23,22,2,0,0,0,3,0,0,0,3,0,0
145,5/24/2016,2016,5,2016-5,24,22,3,0,0,0,3,0,0,1,4,0,0
146,5/25/2016,2016,5,2016-5,25,22,4,0,0,0,3,0,0,0,4,0,0
147,5/26/2016,2016,5,2016-5,26,22,5,0,0,0,3,0,0,0,4,0,0
148,5/27/2016,2016,5,2016-5,27,22,6,0,0,1,4,0,0,0,4,0,0
149,5/28/2016,2016,5,2016-5,28,22,7,1,0,0,4,0,0,0,4,0,0
150,5/29/2016,2016,5,2016-5,29,23,1,1,0,0,4,0,0,0,4,0,0
151,5/30/2016,2016,5,2016-5,30,23,2,0,0,0,4,0,0,0,4,0,0
152,5/31/2016,2016,5,2016-5,31,23,3,0,0,0,4,0,0,1,5,0,0
153,6/1/2016,2016,6,2016-6,1,23,4,0,0,0,0,0,0,0,0,0,0
154,6/2/2016,2016,6,2016-6,2,23,5,0,0,0,0,0,0,0,0,0,0
155,6/3/2016,2016,6,2016-6,3,23,6,0,0,1,1,0,0,0,0,0,0
156,6/4/2016,2016,6,2016-6,4,23,7,1,0,0,1,0,0,0,0,0,0
157,6/5/2016,2016,6,2016-6,5,24,1,1,0,0,1,0,0,0,0,0,0
158,6/6/2016,2016,6,2016-6,6,24,2,0,0,0,1,0,0,0,0,0,0
159,6/7/2016,2016,6,2016-6,7,24,3,0,0,0,1,0,0,1,1,0,0
160,6/8/2016,2016,6,2016-6,8,24,4,0,0,0,1,0,0,0,1,0,0
161,6/9/2016,2016,6,2016-6,9,24,5,0,0,0,1,0,0,0,1,0,0
162,6/10/2016,2016,6,2016-6,10,24,6,0,0,1,2,0,0,0,1,0,0
163,6/11/2016,2016,6,2016-6,11,24,7,1,0,0,2,0,0,0,1,0,0
164,6/12/2016,2016,6,2016-6,12,25,1,1,0,0,2,0,0,0,1,0,0
165,6/13/2016,2016,6,2016-6,13,25,2,0,0,0,2,0,0,0,1,0,0
166,6/14/2016,2016,6,2016-6,14,25,3,0,0,0,2,0,0,1,2,0,0
167,6/15/2016,2016,6,2016-6,15,25,4,0,0,0,2,0,0,0,2,0,0
168,6/16/2016,2016,6,2016-6,16,25,5,0,0,0,2,0,0,0,2,0,0
169,6/17/2016,2016,6,2016-6,17,25,6,0,0,1,3,1,1,0,2,0,0
170,6/18/2016,2016,6,2016-6,18,25,7,1,0,0,3,0,0,0,2,0,0
171,6/19/2016,2016,6,2016-6,19,26,1,1,0,0,3,0,0,0,2,0,0
172,6/20/2016,2016,6,2016-6,20,26,2,0,0,0,3,0,0,0,2,0,0
173,6/21/2016,2016,6,2016-6,21,26,3,0,0,0,3,0,0,1,3,1,1
174,6/22/2016,2016,6,2016-6,22,26,4,0,0,0,3,0,0,0,3,0,0
175,6/23/2016,2016,6,2016-6,23,26,5,0,0,0,3,0,0,0,3,0,0
176,6/24/2016,2016,6,2016-6,24,26,6,0,0,1,4,0,0,0,3,0,0
177,6/25/2016,2016,6,2016-6,25,26,7,1,0,0,4,0,0,0,3,0,0
178,6/26/2016,2016,6,2016-6,26,27,1,1,0,0,4,0,0,0,3,0,0
179,6/27/2016,2016,6,2016-6,27,27,2,0,0,0,4,0,0,0,3,0,0
180,6/28/2016,2016,6,2016-6,28,27,3,0,0,0,4,0,0,1,4,0,0
181,6/29/2016,2016,6,2016-6,29,27,4,0,0,0,4,0,0,0,4,0,0
182,6/30/2016,2016,6,2016-6,30,27,5,0,0,0,4,0,0,0,4,0,0
183,7/1/2016,2016,7,2016-7,1,27,6,0,0,1,1,0,0,0,0,0,0
184,7/2/2016,2016,7,2016-7,2,27,7,1,0,0,1,0,0,0,0,0,0
185,7/3/2016,2016,7,2016-7,3,28,1,1,0,0,1,0,0,0,0,0,0
186,7/4/2016,2016,7,2016-7,4,28,2,0,0,0,1,0,0,0,0,0,0
187,7/5/2016,2016,7,2016-7,5,28,3,0,0,0,1,0,0,1,1,0,0
188,7/6/2016,2016,7,2016-7,6,28,4,0,0,0,1,0,0,0,1,0,0
189,7/7/2016,2016,7,2016-7,7,28,5,0,0,0,1,0,0,0,1,0,0
190,7/8/2016,2016,7,2016-7,8,28,6,0,0,1,2,0,0,0,1,0,0
191,7/9/2016,2016,7,2016-7,9,28,7,1,0,0,2,0,0,0,1,0,0
192,7/10/2016,2016,7,2016-7,10,29,1,1,0,0,2,0,0,0,1,0,0
193,7/11/2016,2016,7,2016-7,11,29,2,0,0,0,2,0,0,0,1,0,0
194,7/12/2016,2016,7,2016-7,12,29,3,0,0,0,2,0,0,1,2,0,0
195,7/13/2016,2016,7,2016-7,13,29,4,0,0,0,2,0,0,0,2,0,0
196,7/14/2016,2016,7,2016-7,14,29,5,0,0,0,2,0,0,0,2,0,0
197,7/15/2016,2016,7,2016-7,15,29,6,0,0,1,3,1,0,0,2,0,0
198,7/16/2016,2016,7,2016-7,16,29,7,1,0,0,3,0,0,0,2,0,0
199,7/17/2016,2016,7,2016-7,17,30,1,1,0,0,3,0,0,0,2,0,0
200,7/18/2016,2016,7,2016-7,18,30,2,0,0,0,3,0,0,0,2,0,0
201,7/19/2016,2016,7,2016-7,19,30,3,0,0,0,3,0,0,1,3,1,0
202,7/20/2016,2016,7,2016-7,20,30,4,0,0,0,3,0,0,0,3,0,0
203,7/21/2016,2016,7,2016-7,21,30,5,0,0,0,3,0,0,0,3,0,0
204,7/22/2016,2016,7,2016-7,22,30,6,0,0,1,4,0,0,0,3,0,0
205,7/23/2016,2016,7,2016-7,23,30,7,1,0,0,4,0,0,0,3,0,0
206,7/24/2016,2016,7,2016-7,24,31,1,1,0,0,4,0,0,0,3,0,0
207,7/25/2016,2016,7,2016-7,25,31,2,0,0,0,4,0,0,0,3,0,0
208,7/26/2016,2016,7,2016-7,26,31,3,0,0,0,4,0,0,1,4,0,0
209,7/27/2016,2016,7,2016-7,27,31,4,0,0,0,4,0,0,0,4,0,0
210,7/28/2016,2016,7,2016-7,28,31,5,0,0,0,4,0,0,0,4,0,0
211,7/29/2016,2016,7,2016-7,29,31,6,0,0,1,5,0,0,0,4,0,0
212,7/30/2016,2016,7,2016-7,30,31,7,1,0,0,5,0,0,0,4,0,0
213,7/31/2016,2016,7,2016-7,31,32,1,1,0,0,5,0,0,0,4,0,0
214,8/1/2016,2016,8,2016-8,1,32,2,0,0,0,0,0,0,0,0,0,0
215,8/2/2016,2016,8,2016-8,2,32,3,0,0,0,0,0,0,1,1,0,0
216,8/3/2016,2016,8,2016-8,3,32,4,0,0,0,0,0,0,0,1,0,0
217,8/4/2016,2016,8,2016-8,4,32,5,0,0,0,0,0,0,0,1,0,0
218,8/5/2016,2016,8,2016-8,5,32,6,0,0,1,1,0,0,0,1,0,0
219,8/6/2016,2016,8,2016-8,6,32,7,1,0,0,1,0,0,0,1,0,0
220,8/7/2016,2016,8,2016-8,7,33,1,1,0,0,1,0,0,0,1,0,0
221,8/8/2016,2016,8,2016-8,8,33,2,0,0,0,1,0,0,0,1,0,0
222,8/9/2016,2016,8,2016-8,9,33,3,0,0,0,1,0,0,1,2,0,0
223,8/10/2016,2016,8,2016-8,10,33,4,0,0,0,1,0,0,0,2,0,0
224,8/11/2016,2016,8,2016-8,11,33,5,0,0,0,1,0,0,0,2,0,0
225,8/12/2016,2016,8,2016-8,12,33,6,0,0,1,2,0,0,0,2,0,0
226,8/13/2016,2016,8,2016-8,13,33,7,1,0,0,2,0,0,0,2,0,0
227,8/14/2016,2016,8,2016-8,14,34,1,1,0,0,2,0,0,0,2,0,0
228,8/15/2016,2016,8,2016-8,15,34,2,0,0,0,2,0,0,0,2,0,0
229,8/16/2016,2016,8,2016-8,16,34,3,0,0,0,2,0,0,1,3,1,0
230,8/17/2016,2016,8,2016-8,17,34,4,0,0,0,2,0,0,0,3,0,0
231,8/18/2016,2016,8,2016-8,18,34,5,0,0,0,2,0,0,0,3,0,0
232,8/19/2016,2016,8,2016-8,19,34,6,0,0,1,3,1,0,0,3,0,0
233,8/20/2016,2016,8,2016-8,20,34,7,1,0,0,3,0,0,0,3,0,0
234,8/21/2016,2016,8,2016-8,21,35,1,1,0,0,3,0,0,0,3,0,0
235,8/22/2016,2016,8,2016-8,22,35,2,0,0,0,3,0,0,0,3,0,0
236,8/23/2016,2016,8,2016-8,23,35,3,0,0,0,3,0,0,1,4,0,0
237,8/24/2016,2016,8,2016-8,24,35,4,0,0,0,3,0,0,0,4,0,0
238,8/25/2016,2016,8,2016-8,25,35,5,0,0,0,3,0,0,0,4,0,0
239,8/26/2016,2016,8,2016-8,26,35,6,0,0,1,4,0,0,0,4,0,0
240,8/27/2016,2016,8,2016-8,27,35,7,1,0,0,4,0,0,0,4,0,0
241,8/28/2016,2016,8,2016-8,28,36,1,1,0,0,4,0,0,0,4,0,0
242,8/29/2016,2016,8,2016-8,29,36,2,0,0,0,4,0,0,0,4,0,0
243,8/30/2016,2016,8,2016-8,30,36,3,0,0,0,4,0,0,1,5,0,0
244,8/31/2016,2016,8,2016-8,31,36,4,0,0,0,4,0,0,0,5,0,0
245,9/1/2016,2016,9,2016-9,1,36,5,0,0,0,0,0,0,0,0,0,0
246,9/2/2016,2016,9,2016-9,2,36,6,0,0,1,1,0,0,0,0,0,0
247,9/3/2016,2016,9,2016-9,3,36,7,1,0,0,1,0,0,0,0,0,0
248,9/4/2016,2016,9,2016-9,4,37,1,1,0,0,1,0,0,0,0,0,0
249,9/5/2016,2016,9,2016-9,5,37,2,0,0,0,1,0,0,0,0,0,0
250,9/6/2016,2016,9,2016-9,6,37,3,0,0,0,1,0,0,1,1,0,0
251,9/7/2016,2016,9,2016-9,7,37,4,0,0,0,1,0,0,0,1,0,0
252,9/8/2016,2016,9,2016-9,8,37,5,0,0,0,1,0,0,0,1,0,0
253,9/9/2016,2016,9,2016-9,9,37,6,0,0,1,2,0,0,0,1,0,0
254,9/10/2016,2016,9,2016-9,10,37,7,1,0,0,2,0,0,0,1,0,0
255,9/11/2016,2016,9,2016-9,11,38,1,1,0,0,2,0,0,0,1,0,0
256,9/12/2016,2016,9,2016-9,12,38,2,0,0,0,2,0,0,0,1,0,0
257,9/13/2016,2016,9,2016-9,13,38,3,0,0,0,2,0,0,1,2,0,0
258,9/14/2016,2016,9,2016-9,14,38,4,0,0,0,2,0,0,0,2,0,0
259,9/15/2016,2016,9,2016-9,15,38,5,0,0,0,2,0,0,0,2,0,0
260,9/16/2016,2016,9,2016-9,16,38,6,0,0,1,3,1,1,0,2,0,0
261,9/17/2016,2016,9,2016-9,17,38,7,1,0,0,3,0,0,0,2,0,0
262,9/18/2016,2016,9,2016-9,18,39,1,1,0,0,3,0,0,0,2,0,0
263,9/19/2016,2016,9,2016-9,19,39,2,0,0,0,3,0,0,0,2,0,0
264,9/20/2016,2016,9,2016-9,20,39,3,0,0,0,3,0,0,1,3,1,1
265,9/21/2016,2016,9,2016-9,21,39,4,0,0,0,3,0,0,0,3,0,0
266,9/22/2016,2016,9,2016-9,22,39,5,0,0,0,3,0,0,0,3,0,0
267,9/23/2016,2016,9,2016-9,23,39,6,0,0,1,4,0,0,0,3,0,0
268,9/24/2016,2016,9,2016-9,24,39,7,1,0,0,4,0,0,0,3,0,0
269,9/25/2016,2016,9,2016-9,25,40,1,1,0,0,4,0,0,0,3,0,0
270,9/26/2016,2016,9,2016-9,26,40,2,0,0,0,4,0,0,0,3,0,0
271,9/27/2016,2016,9,2016-9,27,40,3,0,0,0,4,0,0,1,4,0,0
272,9/28/2016,2016,9,2016-9,28,40,4,0,0,0,4,0,0,0,4,0,0
273,9/29/2016,2016,9,2016-9,29,40,5,0,0,0,4,0,0,0,4,0,0
274,9/30/2016,2016,9,2016-9,30,40,6,0,0,1,5,0,0,0,4,0,0
275,10/1/2016,2016,10,2016-10,1,40,7,1,0,0,0,0,0,0,0,0,0
276,10/2/2016,2016,10,2016-10,2,41,1,1,0,0,0,0,0,0,0,0,0
277,10/3/2016,2016,10,2016-10,3,41,2,0,0,0,0,0,0,0,0,0,0
278,10/4/2016,2016,10,2016-10,4,41,3,0,0,0,0,0,0,1,1,0,0
279,10/5/2016,2016,10,2016-10,5,41,4,0,0,0,0,0,0,0,1,0,0
280,10/6/2016,2016,10,2016-10,6,41,5,0,0,0,0,0,0,0,1,0,0
281,10/7/2016,2016,10,2016-10,7,41,6,0,0,1,1,0,0,0,1,0,0
282,10/8/2016,2016,10,2016-10,8,41,7,1,0,0,1,0,0,0,1,0,0
283,10/9/2016,2016,10,2016-10,9,42,1,1,0,0,1,0,0,0,1,0,0
284,10/10/2016,2016,10,2016-10,10,42,2,0,0,0,1,0,0,0,1,0,0
285,10/11/2016,2016,10,2016-10,11,42,3,0,0,0,1,0,0,1,2,0,0
286,10/12/2016,2016,10,2016-10,12,42,4,0,0,0,1,0,0,0,2,0,0
287,10/13/2016,2016,10,2016-10,13,42,5,0,0,0,1,0,0,0,2,0,0
288,10/14/2016,2016,10,2016-10,14,42,6,0,0,1,2,0,0,0,2,0,0
289,10/15/2016,2016,10,2016-10,15,42,7,1,0,0,2,0,0,0,2,0,0
290,10/16/2016,2016,10,2016-10,16,43,1,1,0,0,2,0,0,0,2,0,0
291,10/17/2016,2016,10,2016-10,17,43,2,0,0,0,2,0,0,0,2,0,0
292,10/18/2016,2016,10,2016-10,18,43,3,0,0,0,2,0,0,1,3,1,0
293,10/19/2016,2016,10,2016-10,19,43,4,0,0,0,2,0,0,0,3,0,0
294,10/20/2016,2016,10,2016-10,20,43,5,0,0,0,2,0,0,0,3,0,0
295,10/21/2016,2016,10,2016-10,21,43,6,0,0,1,3,1,0,0,3,0,0
296,10/22/2016,2016,10,2016-10,22,43,7,1,0,0,3,0,0,0,3,0,0
297,10/23/2016,2016,10,2016-10,23,44,1,1,0,0,3,0,0,0,3,0,0
298,10/24/2016,2016,10,2016-10,24,44,2,0,0,0,3,0,0,0,3,0,0
299,10/25/2016,2016,10,2016-10,25,44,3,0,0,0,3,0,0,1,4,0,0
300,10/26/2016,2016,10,2016-10,26,44,4,0,0,0,3,0,0,0,4,0,0
301,10/27/2016,2016,10,2016-10,27,44,5,0,0,0,3,0,0,0,4,0,0
302,10/28/2016,2016,10,2016-10,28,44,6,0,0,1,4,0,0,0,4,0,0
303,10/29/2016,2016,10,2016-10,29,44,7,1,0,0,4,0,0,0,4,0,0
304,10/30/2016,2016,10,2016-10,30,45,1,1,0,0,4,0,0,0,4,0,0
